,Maneuver Number,Segment,Start Time (UTCG),Stop Time (UTCG),Duration (sec),Delta V (m/sec),Fuel Used (kg),Thruster/Engine,Time from mission start (s)
0,1,Get_into_initial_intrack_displacement.Burn1,2021-12-08 16:00:00.000,2021-12-08 16:00:42.554,42.554,1.730149,0.015,Lumelite_Engine,0.0
1,2,Second_burn_to_return_to_original_plane.Burn2,2021-12-22 16:00:42.554,2021-12-22 16:01:31.564,49.011,1.994397,0.017,Lumelite_Engine,1209642.554
2,3,1st_RAAN_shift.Burn,2021-12-22 16:37:09.316,2021-12-22 16:39:11.988,122.672,5.0,0.043,Lumelite_Engine,1211829.316
3,4,2nd_RAAN_shift.Burn,2021-12-22 18:12:37.275,2021-12-22 18:16:08.587,211.312,8.640172,0.074,Lumelite_Engine,1217557.2750000001
4,5,3rd_RAAN_shift.Burn,2021-12-22 19:48:05.211,2021-12-22 19:51:23.453,198.241,8.1373,0.07,Lumelite_Engine,1223285.2110000001
5,6,4th_RAAN_shift.Burn,2021-12-22 21:23:33.174,2021-12-22 21:25:27.634,114.461,4.712344,0.04,Lumelite_Engine,1229013.174
6,7,5th_RAAN_shift.Burn,2021-12-22 22:59:01.093,2021-12-22 23:01:52.053,170.96,7.057624,0.06,Lumelite_Engine,1234741.093
7,8,6th_RAAN_shift.Burn,2021-12-23 00:34:29.011,2021-12-23 00:36:50.200,141.189,5.846062,0.05,Lumelite_Engine,1240469.0110000002
8,9,7th_RAAN_shift.Burn,2021-12-23 02:09:56.918,2021-12-23 02:12:36.696,159.777,6.634901,0.056,Lumelite_Engine,1246196.918
9,10,8th_RAAN_shift.Burn,2021-12-23 03:45:24.807,2021-12-23 03:48:40.277,195.469,8.144886,0.069,Lumelite_Engine,1251924.807
