,Segment Name,Start Time (UTCG),Stop Time (UTCG),Time from mission start (s),segment_duration
0,Initial_State,2021-12-08 04:00:00.000,2021-12-08 04:00:00.000,0.0,0.0
1,Propagate,2021-12-08 04:00:00.000,2021-12-08 16:00:00.000,0.0,43200.0
2,Get_into_initial_intrack_displacement.Burn1,2021-12-08 16:00:00.000,2021-12-08 16:00:42.554,43200.0,42.554
3,Get_into_initial_intrack_displacement.Drift,2021-12-08 16:00:42.554,2021-12-22 16:00:42.554,43242.554000000004,1209600.0
4,Second_burn_to_return_to_original_plane.Burn2,2021-12-22 16:00:42.554,2021-12-22 16:01:31.564,1252842.554,49.010000000000005
5,5_orbits7,2021-12-22 16:01:31.564,2021-12-22 23:59:27.564,1252891.564,28676.0
6,Wait_until_next_apoapsis,2021-12-22 23:59:27.564,2021-12-23 00:34:28.965,1281567.564,2101.4010000000003
7,1st_RAAN_shift.Burn,2021-12-23 00:34:28.965,2021-12-23 00:36:31.637,1283668.965,122.67200000000001
8,5_orbits,2021-12-23 00:36:31.637,2021-12-23 08:34:27.637,1283791.637,28676.0
9,Wait_until_next_apoapsis1,2021-12-23 08:34:27.637,2021-12-23 10:07:16.147,1312467.637,5568.51
10,2nd_RAAN_shift.Burn,2021-12-23 10:07:16.147,2021-12-23 10:10:47.459,1318036.147,211.312
11,5_orbits1,2021-12-23 10:10:47.459,2021-12-23 18:08:43.459,1318247.459,28676.0
12,Wait_until_next_apoapsis2,2021-12-23 18:08:43.459,2021-12-23 19:40:02.857,1346923.459,5479.398
13,3rd_RAAN_shift.Burn,2021-12-23 19:40:02.857,2021-12-23 19:43:21.098,1352402.857,198.241
14,5_orbits2,2021-12-23 19:43:21.098,2021-12-24 03:41:17.098,1352601.098,28676.0
15,Wait_until_next_apoapsis3,2021-12-24 03:41:17.098,2021-12-24 05:12:49.071,1381277.098,5491.973
16,4th_RAAN_shift.Burn,2021-12-24 05:12:49.071,2021-12-24 05:14:43.531,1386769.071,114.46000000000001
17,5_orbits3,2021-12-24 05:14:43.531,2021-12-24 13:12:39.531,1386883.5310000002,28676.0
18,Wait_until_next_apoapsis4,2021-12-24 13:12:39.531,2021-12-24 14:45:34.813,1415559.5310000002,5575.282
19,5th_RAAN_shift.Burn,2021-12-24 14:45:34.813,2021-12-24 14:48:25.772,1421134.813,170.959
20,5_orbits5,2021-12-24 14:48:25.772,2021-12-24 22:46:21.772,1421305.772,28676.0
21,Wait_until_next_apoapsis5,2021-12-24 22:46:21.772,2021-12-25 00:18:20.138,1449981.772,5518.366
22,6th_RAAN_shift.Burn,2021-12-25 00:18:20.138,2021-12-25 00:20:41.327,1455500.138,141.18900000000002
23,5_orbits4,2021-12-25 00:20:41.327,2021-12-25 08:18:37.327,1455641.327,28676.0
24,Wait_until_next_apoapsis6,2021-12-25 08:18:37.327,2021-12-25 09:51:05.044,1484317.327,5547.717000000001
25,7th_RAAN_shift.Burn,2021-12-25 09:51:05.044,2021-12-25 09:53:44.822,1489865.044,159.77800000000002
26,5_orbits6,2021-12-25 09:53:44.822,2021-12-25 17:51:40.822,1490024.8220000002,28676.0
27,Wait_until_next_apoapsis7,2021-12-25 17:51:40.822,2021-12-25 19:23:49.632,1518700.8220000002,5528.81
28,8th_RAAN_shift.Burn,2021-12-25 19:23:49.632,2021-12-25 19:27:05.101,1524229.632,195.46900000000002
29,Propagate1,2021-12-25 19:27:05.101,2022-01-14 19:27:05.101,1524425.101,1728000.0
