Year,Month,Day,Hour,Min,Sec,Maneuver,Delta-v (m/s)
2020,1,17,10,50,0,S,0.0642
2020,1,18,13,50,0,M,0.0606
2020,1,24,14,25,0,S,0.0334
2020,1,27,13,55,0,M,0.0251
2020,2,7,12,15,0,S,0.0304
2020,2,9,19,55,0,M,0.0286
2020,2,15,7,55,0,C,0.1391
2020,2,16,11,0,0,M,0.1372
2020,3,9,5,15,0,M,0.0023
2020,3,22,23,55,0,S,0.0229
2020,3,26,0,45,0,M,0.0171
2020,4,29,1,5,0,C,0.1505
2020,4,30,13,35,0,M,0.1418
2020,5,13,12,50,0,S,0.062
2020,5,14,23,40,0,M,0.0526
2020,5,24,1,15,0,S,0.0332
2020,5,25,12,10,0,M,0.1338
2020,5,27,11,55,0,S,0.1058
2020,5,30,1,45,0,M,0.0217
2020,6,1,0,0,0,S,0.0678
2020,6,2,15,30,0,M,0.0457
2020,6,10,22,10,0,C,0.1365
2020,6,11,20,25,0,M,0.1189
2020,6,18,12,25,0,S,0.079
2020,6,19,10,35,0,M,0.0732
2020,6,28,20,0,0,S,0.0343
2020,7,2,5,0,0,M,0.0126
2020,7,5,9,10,0,C,0.1464
2020,7,6,15,20,0,M,0.1224
