Year,Month,Day,Hour,Min,Sec,Maneuver,Delta-v (m/s),,,,,
2020,1,11,1,38,0,C,0.1758,,,,,
2020,1,13,9,46,0,M,0.1932,,,,,
2020,2,1,4,34,0,M,2.2734,,,,,
2020,2,23,8,0,0,S,0.0606,,,,,
2020,2,24,16,6,0,M,0.0515,,,,,
2020,4,5,4,56,0,C,0.1166,,,,,
2020,4,7,11,30,0,M,0.0984,,,,,
2020,4,13,10,22,0,S,0.095,,,,,
2020,4,14,10,26,0,M,0.0698,,,,,
2020,5,1,3,42,0,C,0.1146,,,,,
2020,5,3,8,40,0,M,0.0904,,,,,
2020,5,10,1,10,0,S,0.0916,,,,,
2020,5,11,1,14,0,M,0.0721,,,,,
2020,6,8,3,18,0,S,0.1154,,,,,
2020,6,10,8,14,0,M,0.0939,,,,,
2020,6,15,13,26,0,S,0.0962,,,,,
2020,6,16,13,30,0,M,0.0687,,,,,
2020,7,2,17,50,0,C,0.1149,,,,,
2020,7,5,0,22,0,M,0.087,,,,,
